Run 1.3T,/////////////,Polar L,/////////////,Polar R,/////////////
545.947,0.41222,545.947,0.40988,545.947,0.40516
545.9472,0.41232,545.9472,0.40955,545.9472,0.40517
545.9474,0.41217,545.9474,0.40914,545.9474,0.40524
545.9476,0.41219,545.9476,0.40891,545.9476,0.4052
545.9478,0.41223,545.9478,0.40929,545.9478,0.40533
545.948,0.41167,545.948,0.40898,545.948,0.40545
545.9482,0.41172,545.9482,0.40874,545.9482,0.40561
545.9484,0.4124,545.9484,0.40866,545.9484,0.40565
545.9486,0.41228,545.9486,0.40868,545.9486,0.40538
545.9488,0.41231,545.9488,0.40836,545.9488,0.40581
545.949,0.41236,545.949,0.4082,545.949,0.40594
545.9492,0.41278,545.9492,0.4081,545.9492,0.40584
545.9494,0.41228,545.9494,0.40822,545.9494,0.40587
545.9496,0.4126,545.9496,0.40776,545.9496,0.4061
545.9498,0.41274,545.9498,0.40744,545.9498,0.40573
545.95,0.41312,545.95,0.40765,545.95,0.40604
545.9502,0.41342,545.9502,0.40707,545.9502,0.40617
545.9504,0.41326,545.9504,0.40667,545.9504,0.40608
545.9506,0.41334,545.9506,0.40695,545.9506,0.40639
545.9508,0.41321,545.9508,0.40646,545.9508,0.40651
545.951,0.41397,545.951,0.40637,545.951,0.40674
545.9512,0.41345,545.9512,0.40656,545.9512,0.40663
545.9514,0.41345,545.9514,0.40637,545.9514,0.40672
545.9516,0.41386,545.9516,0.40602,545.9516,0.40668
545.9518,0.41376,545.9518,0.40598,545.9518,0.4068
545.952,0.41306,545.952,0.40585,545.952,0.40694
545.9522,0.41349,545.9522,0.40569,545.9522,0.4072
545.9524,0.4132,545.9524,0.40543,545.9524,0.40733
545.9526,0.41304,545.9526,0.4056,545.9526,0.40754
545.9528,0.41306,545.9528,0.40552,545.9528,0.40788
545.953,0.41249,545.953,0.40583,545.953,0.40775
545.9532,0.41224,545.9532,0.40549,545.9532,0.40749
545.9534,0.41211,545.9534,0.40533,545.9534,0.40797
545.9536,0.41189,545.9536,0.40533,545.9536,0.40784
545.9538,0.41202,545.9538,0.40506,545.9538,0.40774
545.954,0.41177,545.954,0.40503,545.954,0.40785
